Tournaments,2005/ 06,2006/ 07,2007/ 08,2008/ 09,2009/ 10,2010/ 11,2011/ 12,2012/ 13,2013/ 14,2014/ 15,2015/ 16,2016/ 17,2017/ 18,2018/ 19,2019/ 20,2019/ 20.1,2020/ 21,2021/ 22,2022/ 23,2023/ 24,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
China Open,LQ,LQ,LQ,WR,1R,W,QF,1R,2R,3R,W,QF,LQ,1R,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,,
Riga Masters[nb 7],Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Minor-Rank,Minor-Rank,QF,A,A,A,A,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,,
China Championship,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,NR,2R,QF,3R,3R,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,,
WST Pro Series,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,3R,Not Held,Not Held,Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,,
Turkish Masters,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,W,Not Held,Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,,
Gibraltar Open,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,MR,F,A,A,W,W,W,4R,Not Held,Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,,
WST Classic,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,3R,NH,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,,
Former non-ranking tournaments,Former non-ranking tournaments,Former non-ranking tournaments,Former non-ranking tournaments,Former non-ranking tournaments,Former non-ranking tournaments,Former non-ranking tournaments,Former non-ranking tournaments,Former non-ranking tournaments,Former non-ranking tournaments,Former non-ranking tournaments,Former non-ranking tournaments,Former non-ranking tournaments,Former non-ranking tournaments,Former non-ranking tournaments,Former non-ranking tournaments,Former non-ranking tournaments,Former non-ranking tournaments,Former non-ranking tournaments,Former non-ranking tournaments,Former non-ranking tournaments,Former non-ranking tournaments,Former non-ranking tournaments,Former non-ranking tournaments,Former non-ranking tournaments,Former non-ranking tournaments,Former non-ranking tournaments,Former non-ranking tournaments,Former non-ranking tournaments,Former non-ranking tournaments,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,,
Masters Qualifying Event,2R,2R,2R,W,2R,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,,
Power Snooker,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,1R,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,,
Premier League Snooker,A,A,A,A,SF,A,SF,F,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,,
World Grand Prix,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,W,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Tournament Not Held,,
Shoot Out,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,QF,1R,A,A,2R,2R,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,,
China Championship,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,1R,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,,
Romanian Masters,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,QF,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held
Hong Kong Masters,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,SF,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,QF,NH,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held
Six-red World Championship[nb 8],Not Held,Not Held,Not Held,A,SF,3R,NH,SF,3R,A,3R,A,A,A,A,A,Not Held,Not Held,QF,NH,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held
